"Row.names","P1-01-01-arc","P1-02-01-arc","P1-03-01-arc","P1-14-01-arc","P1-15-01-arc","P1-16-01-arc","P1-18-01-arc","P1-20-01-arc","P1-21-01-arc","P1-22-01-arc","P1-23-01-arc","P1-24-01-arc","P2-01-01-arc","P2-03-01-arc","P2-06-01-arc","P2-07-01-arc","P2-08-01-arc","P2-09-01-arc","P2-10-01-arc","P2-11-01-arc","P2-12-01-arc","P2-13-01-arc","P2-14-01-arc","P2-15-01-arc","P2-16-01-arc","P2-17-01-arc","P2-18-01-arc","P2-19-01-arc","P2-20-01-arc","P2-21-01-arc","P2-22-01-arc","P2-23-01-arc","P2-24-01-arc","P3-01-01-arc","P3-02-01-arc","P3-03-01-arc","P3-07-01-arc","P3-08-01-arc","P3-09-01-arc","P3-10-01-arc","P3-11-01-arc","P3-12-01-arc","P3-13-01-arc","P3-14-01-arc","P3-15-01-arc","P3-16-01-arc","P3-17-01-arc","P3-18-01-arc","P3-19-01-arc","P3-20-01-arc","P3-21-01-arc","P3-22-01-arc","P3-23-01-arc","P3-24-01-arc","P1-01-02-arc","P1-02-02-arc","P1-03-02-arc","P1-05-02-arc","P1-06-02-arc","P1-07-02-arc","P1-08-02-arc","P1-09-02-arc","P1-10-02-arc","P1-11-02-arc","P1-12-02-arc","P1-13-02-arc","P1-14-02-arc","P1-15-02-arc","P1-16-02-arc","P1-17-02-arc","P1-18-02-arc","P1-19-02-arc","P1-20-02-arc","P1-21-02-arc","P1-22-02-arc","P1-23-02-arc","P1-24-02-arc","P2-01-02-arc","P2-02-02-arc","P2-03-02-arc","P2-05-02-arc","P2-06-02-arc","P2-07-02-arc","P2-08-02-arc","P2-09-02-arc","P2-10-02-arc","P2-11-02-arc","P2-12-02-arc","P2-13-02-arc","P2-14-02-arc","P2-15-02-arc","P2-16-02-arc","P2-17-02-arc","P2-18-02-arc","P2-19-02-arc","P2-20-02-arc","P2-21-02-arc","P2-22-02-arc","P2-23-02-arc","P2-24-02-arc","P3-01-02-arc","P3-02-02-arc","P3-03-02-arc","P3-05-02-arc","P3-06-02-arc","P3-07-02-arc","P3-08-02-arc","P3-09-02-arc","P3-10-02-arc","P3-11-02-arc","P3-12-02-arc","P3-13-02-arc","P3-14-02-arc","P3-15-02-arc","P3-16-02-arc","P3-17-02-arc","P3-18-02-arc","P3-19-02-arc","P3-20-02-arc","P3-21-02-arc","P3-22-02-arc","P3-23-02-arc","P3-24-02-arc"
"ASV666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,3,0,0,0,0,0,0
"ASV671",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,9,3,1,9,4,2,3,4,3,16,12,12,6,10,3,0,15,9,13,13,6,3,0,4,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"ASV706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV707",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,2,0,5,5,0,6,0,0,0,5,5,0,3,4,0,0,0,4,3,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV708",3,5,8,0,7,11,0,0,0,0,9,17,0,0,0,2,2,1,0,0,0,0,2,1,4,6,17,5,3,5,5,3,5,56,0,15,2,2,4,11,1,14,4,1,1,2,2,1,4,2,3,1,0,3,20,24,28,17,24,19,38,12,19,24,27,31,20,25,32,10,13,11,14,14,21,14,13,13,12,10,15,18,24,32,20,18,22,26,19,28,21,12,15,10,5,9,5,14,10,17,8,6,15,12,12,11,15,4,17,11,11,13,5,6,7,10,6,5,13,6,4,15,7
"ASV710",15,0,14,25,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,12,17,19,7,30,16,14,11,22,11,13,49,25,1,9,1,3,9,17,10,14,3,2,0,0,0,4,3,0,0,0,0,0,0,0,4,0,10,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,9,21,0,7,25,6,3,5,11,19,5,13,7,14,5,5,5,5,4,7,20,34,28,26,19,27,36,16,18,25,20,9,26,25,28,11,21,11,13,8,14,28,6,37,0,0,2,4,4,1,0,0,1,0,4,0,7,4,9,2,3,3,2,5,1,1,1
"ASV716",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,4,0,4,0,0,7,0,0,0,0,0,4,0,0,3,4,2,8,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV721",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,2,0,0,4,0,2,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,9,0,4,0,2,0,0,0,0,3,0,0,0,2,1,1,0,0,2,0,2,0,2,3,0,1,3,4,4,4,0,2,0,5,2,4,1,2,0,1,4,3
"ASV726",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,3,3,0,0,1,0,0,1,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,8,8,6,6,5,14,13,13,7,2,7,10,2,5,2,9,3,7,3,2,6,3,2,0,1,0,5,1,3,2,0,1,0,0,0,0,2,2,2,3,0,3,0,2,2,2
"ASV728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,7,14,11,7,6,14,5,3,0,6,4,12,7,4,8,13,5,7,4,3,0,5,0,0,0,0,2,4,4,1,1,3,4,2,7,0,0,1,0,2,2,1,0,0,0,0,2,1,0,0,4,1,3,0,3,3,0,0,0,3,2,0,0,3,2,0
"ASV731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,9,6,8,6,3,8,18,4,11,8,5,4,8,2,5,5,1,9,2,4,0,1,2,3,0,0,0,0,0,0,3,0,5,0,0,0,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,6,0,11,8,5,12,6,6,1,7,4,5,8,4,6,7,4,4,6,7,0,0,0,0,0,2,0,0,0,0,0,5,5,6,0,2,5,1,4,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,20,19,11,0,47,7,7,15,10,11,0,11,12,16,9,0,4,8,15,10,14,14,8,3,7,6,14,13,8,6,8,0,6,12,4,0,2,7,4,0,0,8,4,0,6,5,0,0,2,6,3,4,2,6,2,0,1,4,6,6,9,5,2,0,4,5,4
"ASV750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,6,0,4,0,0,0,0,0,0,0,0,0
"ASV753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0
"ASV762",0,0,3,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,12,2,2,3,0,6,2,1,27,2,6,0,1,5,0,4,0,0,1,5,3,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ASV766",27,56,40,124,5,86,51,0,0,0,29,34,0,0,0,36,0,51,0,0,0,0,16,21,20,0,129,15,32,7,22,15,4,0,0,19,0,0,0,0,38,0,0,2,12,17,28,14,27,11,18,13,24,35,291,227,360,332,304,281,381,172,217,118,262,315,402,384,262,244,219,147,268,190,177,237,277,117,91,70,94,70,33,94,79,86,93,120,88,99,62,67,68,336,58,77,64,47,55,81,131,103,227,164,142,107,108,82,96,83,139,117,87,157,173,137,134,96,84,117,106,72,53
