OTUID	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample_09	Sample10	Sample11
ASV211	0	0	0	0	0	0	0	0	0	0	0
ASV212	0	0	0	0	0	0	0	0	0	0	0
ASV213	0	0	0	0	0	0	0	0	0	0	0
ASV214	4	3	6	9	19	9	7	11	10	13	10
ASV215	7	6	7	11	2	3	8	9	6	5	8
ASV216	0	2	0	3	0	1	4	3	7	2	0
ASV217	0	0	0	0	0	0	0	0	0	0	0
ASV218	0	0	0	0	0	0	0	0	0	0	0
ASV219	0	0	0	0	0	0	0	0	0	0	0
ASV220	0	0	0	0	0	0	0	0	0	0	0
ASV221	0	0	0	0	0	0	0	0	0	0	0
ASV222	4	0	0	0	0	0	0	0	0	0	0
ASV223	5	11	6	19	9	11	14	12	10	6	7
ASV224	0	0	0	0	0	0	0	0	0	0	0
ASV225	0	0	0	0	2	0	0	0	0	0	0
ASV226	0	0	0	0	0	0	2	0	0	0	0
ASV227	129	83	100	94	108	79	100	79	70	73	67
ASV230	0	0	0	0	0	0	0	0	0	0	0
ASV232	0	0	0	0	0	0	0	0	0	0	0
ASV238	0	0	0	0	0	0	0	0	0	0	0
ASV240	0	0	0	0	0	0	0	0	0	0	0
ASV241	0	0	0	0	0	0	0	0	0	0	0
ASV242	7	4	6	4	2	4	2	7	4	3	0
ASV243	0	0	0	0	0	0	0	0	0	0	0
ASV244	0	0	0	0	0	0	0	0	0	0	0
ASV246	0	0	0	0	0	0	0	0	0	0	0
ASV247	0	0	0	0	0	0	0	3	0	0	0
ASV248	0	0	0	0	0	0	0	0	0	0	0
ASV249	0	0	0	0	0	0	0	0	0	0	0
ASV250	0	0	0	0	0	0	0	0	0	0	0
ASV251	0	0	0	0	0	0	0	0	0	0	0
ASV252	0	0	0	0	0	0	0	0	0	0	0
ASV253	0	0	0	0	0	0	0	0	0	0	0
ASV254	0	0	0	0	0	0	0	0	0	0	0
ASV255	0	0	0	0	0	0	0	0	0	0	0
ASV256	0	0	0	0	0	0	0	0	0	0	0
ASV257	0	0	0	0	0	0	0	0	0	0	0
ASV258	0	0	0	0	0	0	0	0	0	0	0
ASV259	2	0	0	0	0	0	0	0	0	0	0
ASV260	0	0	0	0	0	0	0	0	0	0	0
ASV261	0	0	0	0	0	0	0	0	2	0	0
ASV262	0	0	0	0	0	0	0	0	0	0	0
ASV263	0	0	0	0	0	0	0	0	0	0	0
ASV264	0	0	0	0	0	0	0	0	0	0	0
ASV265	0	0	0	0	0	0	0	0	0	0	0
ASV266	0	0	0	0	0	0	0	0	0	0	0
ASV267	0	0	0	0	0	0	0	0	0	0	0
ASV268	0	0	0	0	0	0	0	0	0	0	0
ASV269	0	0	0	0	0	0	0	0	0	0	0
ASV270	0	0	0	0	0	3	0	0	0	0	0
ASV271	0	0	0	0	0	0	0	0	0	0	0
ASV272	0	0	0	0	0	0	0	0	0	0	0
ASV273	0	0	0	0	0	0	0	0	0	0	0
ASV274	0	0	0	0	0	0	0	0	0	0	0
ASV275	0	0	0	0	0	0	0	0	0	0	0
ASV276	0	0	0	0	0	0	0	0	0	0	0
ASV277	0	0	0	0	0	0	0	0	0	0	0
ASV278	0	0	0	0	0	0	0	0	0	0	0
ASV279	0	0	0	0	0	0	0	0	0	2	0
ASV280	0	0	0	0	0	0	0	0	0	0	0
ASV281	0	0	0	0	0	0	0	0	0	0	0
ASV282	0	0	0	0	0	0	0	0	0	0	0
ASV283	0	0	0	0	0	0	0	0	0	0	0
ASV284	0	0	0	0	0	0	0	0	0	0	0
ASV285	0	0	0	0	0	0	0	0	0	0	0
ASV286	0	0	0	2	0	0	0	0	0	0	0
ASV287	0	0	0	0	0	0	0	0	2	0	0
ASV288	0	0	0	0	0	0	0	0	0	0	0
ASV289	0	0	0	0	0	0	0	0	0	0	0
ASV290	0	0	0	0	0	0	0	0	0	0	0
ASV291	0	0	0	0	0	0	0	0	0	0	0
ASV292	0	0	0	0	0	0	0	0	0	0	0
ASV293	0	0	0	0	0	0	0	0	0	0	0
ASV294	0	0	0	0	0	0	0	0	0	0	0
ASV295	0	0	0	0	0	0	0	5	0	0	0
ASV296	0	0	0	0	0	0	0	0	0	0	0
ASV297	0	0	0	0	0	0	0	0	0	0	0
ASV298	0	0	0	0	0	0	0	0	0	0	0
ASV299	0	0	0	0	0	0	0	0	0	0	0
ASV300	0	0	0	0	0	0	0	0	0	0	0
ASV301	0	0	0	0	0	0	0	0	0	0	0
ASV302	0	0	0	0	0	0	0	0	0	0	0
ASV303	0	0	0	0	0	0	0	0	0	0	0
ASV305	0	0	0	0	0	0	0	0	0	0	0
ASV306	0	0	0	0	0	0	0	0	0	0	0
ASV307	0	0	0	0	0	0	0	0	0	0	0
ASV308	0	0	0	0	0	0	0	0	0	0	0
ASV309	0	0	0	0	0	0	0	0	0	0	0
ASV310	0	0	0	0	0	0	0	0	0	0	0
ASV311	0	0	0	0	0	0	0	0	0	0	0
ASV312	0	0	0	0	0	0	0	0	0	0	0
ASV313	0	0	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	0	0	0	0	2	0	0	0
ASV315	0	0	0	0	0	0	3	0	0	0	0
ASV316	0	0	0	0	0	0	0	0	0	0	0
ASV317	3	0	0	0	0	0	0	0	0	0	0
ASV318	0	0	0	0	0	0	0	0	0	0	0
ASV320	4	0	0	0	0	0	0	0	0	0	0
ASV321	0	0	0	0	0	0	0	0	0	0	0
ASV322	0	0	0	0	0	0	0	0	0	0	0
ASV323	0	0	0	0	0	0	0	0	0	0	0
ASV324	0	0	0	0	0	0	0	0	0	0	0
ASV325	0	0	0	0	0	0	0	0	0	0	0
ASV327	0	0	0	0	0	0	0	0	0	0	0
ASV328	0	0	0	0	0	0	0	0	0	0	0
ASV329	0	0	0	0	0	0	0	0	0	0	0
ASV330	0	0	0	0	0	0	0	0	0	0	0
ASV331	0	0	0	0	0	0	0	0	0	0	0
ASV332	0	0	0	0	0	0	0	0	0	0	0
ASV333	0	0	0	0	0	0	0	0	0	0	0
ASV334	0	0	0	0	0	0	0	0	0	0	0
ASV335	0	0	0	0	0	0	0	0	0	0	0
ASV336	0	0	0	0	0	0	0	0	0	0	0
ASV337	0	0	0	0	0	0	0	0	0	0	0
ASV338	0	0	0	0	0	0	0	0	0	0	0
ASV339	0	0	0	0	0	0	0	0	0	0	0
ASV340	0	0	0	0	0	0	0	0	0	0	0
ASV341	0	0	0	0	0	0	0	0	0	0	0
ASV342	0	0	3	0	0	0	0	0	0	0	0
ASV343	0	0	0	0	0	0	0	0	0	0	0
ASV344	0	0	0	0	0	0	0	0	0	0	0
ASV345	0	0	0	0	0	0	0	0	0	0	0
ASV346	0	0	0	0	0	0	0	0	0	0	0
ASV347	0	0	0	0	0	0	0	0	0	0	0
ASV348	0	0	0	0	0	0	0	0	0	0	0
ASV349	0	0	0	0	0	0	0	0	0	0	0
ASV350	0	0	0	0	0	0	0	0	0	0	0
ASV351	0	0	0	0	0	0	0	0	0	0	0
ASV352	0	0	3	0	0	0	0	0	0	0	0
ASV353	0	4	0	0	0	0	0	0	0	0	0
ASV354	0	0	0	0	0	0	0	0	0	0	0
ASV355	0	0	0	0	0	0	0	2	0	0	0
ASV357	0	0	0	0	0	0	0	0	0	0	0
ASV358	0	0	0	0	0	0	0	0	0	0	0
ASV359	0	0	0	0	0	0	0	0	0	0	0
ASV360	0	0	0	0	0	0	0	0	0	0	0
ASV361	0	0	0	0	0	0	0	0	3	0	0
ASV362	2	0	0	0	0	0	0	0	0	0	0
ASV363	0	0	0	0	0	0	0	0	0	0	0
ASV364	0	0	0	0	0	0	0	0	0	0	0
ASV365	0	0	0	0	0	0	0	0	0	0	0
ASV366	0	0	0	0	0	0	0	0	0	0	0
ASV367	0	0	0	0	0	0	0	0	0	0	0
ASV368	0	0	0	0	0	0	0	0	0	0	0
ASV369	0	0	0	0	0	0	0	0	0	0	0
ASV370	0	0	0	0	0	0	0	0	0	0	0
ASV371	0	0	0	0	0	0	0	0	0	0	0
ASV372	0	0	0	0	0	0	0	2	0	0	0
ASV373	0	0	0	0	0	0	0	0	0	0	0
ASV374	0	0	2	0	0	0	0	0	0	0	0
ASV375	0	0	0	0	0	0	0	0	0	0	0
ASV376	0	0	2	0	0	0	0	0	0	0	0
ASV377	0	0	0	0	0	0	0	0	0	0	0
ASV378	0	0	0	0	0	0	0	0	0	0	0
ASV379	0	0	0	0	0	0	0	0	0	0	0
ASV380	0	0	0	0	0	0	0	0	0	0	0
ASV381	0	0	0	0	0	0	0	0	0	0	0
ASV382	0	0	0	0	0	0	2	0	0	0	0
ASV383	0	0	0	0	0	0	0	0	0	0	0
ASV384	0	0	0	0	0	0	0	0	0	0	0
ASV385	0	0	0	0	0	0	0	0	0	0	0
ASV386	0	0	0	0	0	0	0	2	0	0	0
ASV387	0	0	0	0	0	0	0	0	0	1	0
ASV388	0	0	0	0	0	0	0	0	0	0	0
ASV389	0	0	0	0	0	0	0	0	0	0	0
ASV390	0	0	0	0	0	0	0	0	0	0	0
ASV391	0	0	0	0	0	0	0	0	2	0	0
ASV392	0	0	0	0	0	0	0	0	2	0	0
ASV393	0	0	0	0	0	0	0	0	0	0	0
ASV394	0	0	0	0	0	0	0	0	0	0	0
ASV395	0	0	0	0	0	0	0	0	0	0	0
ASV396	0	0	0	0	0	0	0	0	0	0	0
ASV397	0	0	0	0	0	0	0	0	0	0	0
ASV398	0	0	0	0	0	0	0	0	0	0	0
ASV399	0	0	0	0	0	0	0	0	0	0	0
ASV400	0	0	0	0	0	0	0	0	0	0	0
ASV401	0	0	0	0	0	0	0	0	2	0	0
ASV402	0	0	0	0	0	4	0	0	0	0	0
ASV403	0	2	0	0	0	0	0	0	0	0	0
ASV404	0	0	0	0	0	0	0	0	0	0	0
ASV405	0	0	0	0	0	0	0	0	0	0	0
ASV406	0	0	0	0	0	0	0	0	0	0	0
ASV407	0	0	0	0	0	0	0	0	0	0	0
ASV408	2	2	5	3	4	2	1	4	1	5	7
ASV409	0	3	3	3	6	2	4	9	5	6	5
ASV410	0	0	0	0	0	0	0	0	0	0	0
ASV411	0	0	0	0	0	0	0	0	0	0	0
ASV412	0	0	0	0	0	0	0	0	0	0	0
ASV413	0	0	0	0	0	0	0	0	0	0	0
ASV414	0	0	0	0	0	0	0	0	0	0	0
ASV415	0	0	0	0	0	2	0	0	0	0	0
ASV416	0	0	0	0	0	0	0	0	0	0	0
ASV417	0	0	0	0	0	0	0	0	0	0	0
ASV418	0	0	0	0	0	0	0	0	0	0	0
ASV419	0	0	0	0	0	0	0	0	0	0	0
ASV420	0	0	0	0	0	0	0	0	0	0	0
ASV421	0	0	0	0	0	0	0	0	0	0	0
ASV422	0	0	0	0	0	0	0	0	0	0	0
ASV423	0	0	0	0	0	0	0	0	2	0	0
ASV424	0	0	0	0	0	0	0	0	0	1	0
ASV425	0	0	0	0	0	0	0	0	0	0	0
ASV426	0	0	0	0	0	0	0	1	0	0	0
ASV427	0	0	0	0	0	0	0	0	0	0	0
ASV428	0	0	0	0	0	0	0	0	0	0	0
ASV429	0	2	0	0	0	0	0	0	0	0	0
ASV430	0	0	0	2	0	0	0	0	0	0	0
ASV431	0	0	0	0	2	0	0	0	0	0	0
ASV432	0	0	0	0	0	0	0	0	0	0	0
ASV433	0	0	0	0	0	0	0	0	0	0	0
ASV434	0	0	0	0	0	0	0	0	0	0	0
ASV436	0	0	0	0	0	2	0	0	0	0	0
ASV437	0	0	0	0	0	0	0	0	0	0	0
ASV438	0	0	0	0	0	0	0	0	0	0	0
ASV439	0	0	0	0	0	0	0	0	0	0	0
ASV440	0	0	0	0	0	0	0	0	0	0	0
ASV441	0	0	0	0	0	0	0	0	0	0	0
ASV442	0	0	2	0	0	0	0	0	0	0	0
ASV443	0	0	0	0	0	0	0	0	0	0	0
ASV444	0	0	0	0	0	0	0	0	0	0	0
ASV445	0	0	0	0	0	0	0	0	0	0	0
ASV446	0	0	0	0	0	0	0	0	0	0	0
ASV447	0	0	0	0	0	0	0	0	0	0	0
ASV448	0	0	0	0	0	0	0	0	0	2	0
ASV449	0	0	0	0	0	0	0	0	0	3	0
ASV450	0	0	0	0	0	0	0	0	0	0	2
ASV451	0	0	0	0	0	0	0	0	0	0	0
ASV452	0	0	0	0	0	0	0	0	0	0	0
ASV453	0	7	0	0	0	0	0	0	0	0	0
ASV454	0	0	0	0	0	0	0	0	6	0	0
ASV455	0	0	0	0	0	3	0	0	0	0	0
ASV456	0	0	0	0	0	0	0	0	0	0	0
ASV457	0	0	0	0	0	0	0	0	0	0	0
ASV458	0	13	0	0	0	0	0	0	0	0	0
ASV459	0	8	0	0	0	0	0	0	0	0	0
ASV460	0	0	0	0	0	0	2	0	0	0	0
ASV461	0	0	0	0	0	0	0	2	0	0	0
ASV462	0	0	0	0	0	0	0	0	0	0	0
ASV463	0	0	0	0	0	0	0	0	0	0	4
ASV464	0	0	0	0	0	0	0	0	0	0	0
ASV465	0	0	0	0	9	0	0	0	0	0	0
ASV466	0	0	0	0	0	0	0	0	0	2	0
ASV467	0	0	0	0	3	0	0	0	0	0	0
ASV468	0	0	0	0	0	0	0	0	0	0	0
ASV470	0	0	0	0	2	0	0	0	0	0	0
ASV471	0	0	0	0	0	0	0	0	0	0	0
ASV472	0	0	0	0	5	0	0	0	0	0	0
ASV473	0	0	3	0	0	0	0	0	0	0	0
ASV474	0	0	3	0	0	0	0	0	0	0	0
ASV475	0	0	2	0	0	0	0	0	0	0	0
ASV476	0	0	0	0	0	0	0	0	0	2	0
ASV477	0	0	0	0	0	0	0	0	0	0	0
ASV479	0	0	0	0	0	0	0	0	0	0	0
ASV480	0	0	0	0	0	0	0	0	0	0	0
ASV481	0	0	0	0	0	0	0	0	2	0	0
ASV482	0	0	2	0	0	0	0	0	0	0	0
ASV483	0	0	0	2	0	0	0	0	0	0	0
ASV484	0	0	0	0	3	0	0	0	0	0	0
ASV487	0	0	0	0	0	0	0	0	0	0	0
ASV488	0	5	0	0	0	0	0	0	0	0	0
ASV489	0	0	0	0	0	0	0	0	0	0	0
ASV490	0	0	0	0	0	0	0	0	0	0	0
ASV491	0	0	2	0	0	0	0	0	0	0	0
ASV492	0	0	0	0	0	0	0	0	0	0	0
ASV493	0	0	0	0	0	0	0	0	0	0	0
ASV494	0	0	0	0	0	0	0	0	0	0	0
ASV495	0	0	0	0	0	0	0	0	0	0	0
ASV496	0	0	0	0	0	0	0	0	0	0	0
ASV497	0	0	0	0	0	0	0	0	0	0	0
ASV498	0	0	0	0	0	0	0	0	0	0	0
ASV499	0	0	2	0	0	0	0	0	0	0	0
ASV500	0	0	0	0	0	0	0	0	0	0	0
ASV501	0	0	0	0	0	0	2	0	0	0	0
ASV502	31	22	34	58	60	56	50	62	29	40	19
ASV503	0	0	0	0	0	0	0	0	0	0	0
ASV504	0	0	0	0	0	0	0	0	0	0	0
ASV505	0	0	0	0	0	0	0	0	0	0	0
ASV506	0	0	0	0	0	0	0	0	0	0	0
ASV507	0	0	0	0	0	0	0	0	0	0	0
ASV508	0	0	0	0	0	0	0	0	0	0	2
ASV509	0	0	0	0	0	0	0	0	0	0	0
ASV510	0	0	0	0	0	2	0	0	0	0	0
ASV511	0	0	0	0	0	0	2	0	0	0	0
ASV512	0	0	0	0	0	0	0	0	0	0	0
ASV513	0	0	0	0	0	0	0	0	0	0	0
ASV514	0	0	0	0	0	0	0	0	0	0	0
ASV515	0	0	0	0	0	0	0	0	0	0	0
ASV516	0	0	0	1	0	0	0	0	0	0	0
ASV517	0	0	0	0	0	0	0	0	0	0	0
ASV518	0	0	0	0	0	0	0	0	0	0	0
ASV519	0	0	0	0	0	0	0	0	0	0	0
ASV520	0	0	0	0	0	0	0	0	0	0	0
ASV521	0	0	0	0	0	0	0	0	0	0	0
ASV522	0	0	0	0	0	0	0	0	0	0	0
ASV523	0	0	0	0	0	0	0	0	0	0	0
ASV524	0	0	0	0	0	0	0	0	0	0	0
ASV525	0	0	0	0	0	0	0	0	0	0	0
ASV526	0	0	0	0	0	0	0	0	0	0	0
ASV527	0	0	0	0	0	0	0	0	0	0	0
ASV528	0	0	0	0	0	0	0	0	0	0	0
ASV529	0	0	0	0	0	0	0	0	0	0	0
ASV530	0	0	0	3	0	0	0	0	0	0	0
ASV531	0	0	0	0	0	0	0	0	0	0	0
ASV532	0	0	0	2	0	0	0	0	0	0	0
ASV533	0	0	0	0	0	0	0	0	0	0	0
ASV534	0	0	0	0	0	0	0	0	0	0	0
ASV535	0	0	0	0	0	0	0	0	0	0	0
ASV536	0	0	0	0	0	0	0	0	0	0	0
ASV537	0	0	0	0	0	0	0	0	1	0	0
ASV538	0	0	0	0	0	0	0	0	0	1	0
ASV539	0	0	0	0	0	0	0	0	0	0	0
ASV540	2	0	0	0	0	0	0	0	0	0	0
ASV541	0	0	0	0	0	0	0	0	1	0	0
ASV542	0	0	0	0	0	0	0	0	0	0	0
ASV543	0	0	0	0	0	0	0	0	0	0	0
ASV544	0	0	0	0	0	0	0	0	0	0	0
ASV545	0	0	0	0	0	0	0	0	0	0	0
ASV546	0	0	0	0	0	0	0	0	0	0	0
ASV547	0	0	0	0	0	0	0	3	0	0	0
ASV548	0	0	0	0	0	0	0	0	0	0	0
ASV549	0	0	0	0	0	0	0	0	0	0	0
